Bangla,Chittagong
সাত বছর পর খুজে পেয়েছি আমার প্রিয় গানটা,সাত বচর ফর তোয়াই পায়্যি আঁর ফ্রিয় গানইবা
জীবনে  অনেক  গান শুনি তারপরেও  কেন জানি না এই গান গুলোর মত এত ভালো লাগে না,জিবন অত বউত গান ফুইন্নি তারফরো কেন যানি গান এগুনর নান এত গম ন লাগে
"যখন গানটা নতুন বের হয়েছিলো, তখন অনেক শুনেছি",যেত্তে গানইবা নতুন বাইর অয়্যিল এত্তে বউত ফুইন্নি
এই গানটা যে কতো বার যে শুনেছি তার কোনো হিসেব নেই,এই গানইবাযে হতবার ফুইন্নি তার ইসাব নেই
ছোটবেলার স্মৃতিগুলো মনে পরে যায়,গুরাহাল অর সৃতি মনোত ফরি যা গই
মাত্র এক বছর পর গানটার বয়স এক যুগ হবে যাবে,মাত্র এক বচর ফর গানইবার বয়স এক যুগ অয় যাইবই
ভবিষ্যতে আমার ছেলে মেয়ে যখন এসব গান দেখবে তার বাবা কতটা রোমান্টিক ছিল,ববিষ্যতঅত আঁর ফোয়া-মাইয়্যা যেত্তে গান এগুন দেইবো তার বাফ হতো রোমান্টিক আচিল
এই গানটা কতবার শুনিছি আমি নিজেই জানি না,এই গানইবা হতোবার ফুইন্নি আঁই নিজেই ন যানি
এভাবে চলে যাবে সময় কিন্তু থেকে যাবে এসব কিছু গান,এনগরি সময় যাইবই কিন্তু তাকি যাইবই এসব কিচু গান
তাদেরকে অনেক ধন্যবাদ যারা গান গুলো উপহার দিয়ে গেছেন,তারারে বউত দইন্যবাদ যারা গান্নুন উফার দি গেয়্যে
রুমি ভাইয়া আবার ফিরে আসো সবার মাঝে নতুন গান নিয়ে।,রুমি বাইয়্যা আবার ফিরি আয়্যু বেজ্ঞুনর মাযে নতুন গান লয়
পুরনো দিনের কথা মনে পড়ে গেল,ফুরান দিন অর হতা মনোত ফরি গেয়্যুই
"হারিয়ে গেছে কতকিছু,  কত আপনজন","আঁযি গেইয়্যুই হতকিচু, হতো আফনজনন"
শুধু গানটি যেমন ছিলো তেমনেই রয়ে গেছে,শুদু গান্নুন যেন আচিল এনই রয় গেয়্যুই
